1:ItNr	2:Metric	3a:Time	3b:StepSize	4:||Gradient||	Time[ms]
0	-0.573679	0.000000	18.941587	0.011455	248.1
1	-0.567030	0.000000	18.941587	0.017008	1.7
2	-0.597364	1.000000	18.080606	0.015197	1.7
3	-0.564676	2.000000	17.294493	0.012209	1.6
4	-0.565546	1.240856	17.884803	0.011851	1.6
5	-0.553560	0.477765	18.520239	0.013972	1.7
6	-0.549786	1.477765	17.696303	0.017188	1.7
7	-0.566458	0.714673	18.318182	0.016635	2.3
8	-0.534396	1.714673	17.511735	0.016386	1.9
9	-0.574181	0.951582	18.120486	0.012085	1.6
10	-0.520715	0.188490	18.773085	0.008027	1.6
11	-0.542042	0.000000	18.941587	0.012323	1.6
12	-0.549436	0.000000	18.941587	0.012786	1.7
13	-0.589731	0.000000	18.941587	0.012735	1.7
14	-0.543402	0.000000	18.941587	0.013738	1.8
15	-0.560017	0.000000	18.941587	0.015447	2.7
16	-0.533833	0.999962	18.080637	0.013129	2.0
17	-0.577894	1.999962	17.294521	0.015391	1.7
18	-0.559144	2.999962	16.573915	0.009157	1.7
19	-0.588188	3.222141	16.421890	0.019362	1.6
20	-0.577280	2.459051	16.956071	0.012647	1.6
21	-0.550948	3.459044	16.262832	0.012168	1.6
22	-0.547491	4.459044	15.624048	0.009863	1.8
23	-0.587035	3.724841	16.088004	0.013839	1.9
24	-0.585585	2.979796	16.587853	0.013555	3.0
25	-0.556955	2.217097	17.132777	0.014166	1.9
26	-0.566606	1.454248	17.714837	0.012216	2.1
27	-0.569472	0.993922	18.085602	0.013796	1.7
28	-0.565405	0.230832	18.735645	0.008459	1.6
29	-0.584474	1.230832	17.892868	0.011329	1.6
30	-0.587969	2.230828	17.122650	0.015120	1.6
31	-0.564312	1.477010	17.696897	0.015766	1.6
32	-0.570138	2.477010	16.943100	0.011234	2.4
33	-0.596287	3.477010	16.250896	0.013963	2.0
34	-0.571544	4.446900	15.631505	0.010912	1.9
35	-0.563863	5.360247	15.089894	0.014546	2.1
36	-0.556078	4.597155	15.539748	0.011872	2.4
37	-0.582236	3.834064	16.017247	0.011954	2.5
38	-0.557394	4.834064	15.397242	0.014301	2.5
39	-0.557113	4.070972	15.865892	0.011722	3.4
40	-0.565852	5.070972	15.257326	0.010605	2.2
41	-0.567836	6.067907	14.695386	0.010288	1.9
42	-0.599586	5.306543	15.120699	0.010323	1.9
43	-0.555646	4.543456	15.572417	0.013301	2.0
44	-0.557311	5.543456	14.985740	0.017159	2.2
45	-0.543808	6.543393	14.441697	0.017120	2.2
46	-0.540535	5.780301	14.853206	0.007296	3.4
47	-0.565691	6.780301	14.318539	0.014141	2.6
48	-0.568656	6.017210	14.722961	0.017100	3.0
49	-0.562057	7.017210	14.197464	0.015525	2.6
50	-0.548275	6.254118	14.594981	0.007165	2.4
51	-0.545333	7.254093	14.078432	0.010718	2.6
52	-0.572781	8.233693	13.606674	0.016149	3.3
53	-0.571012	7.470602	13.971371	0.014732	2.7
54	-0.584552	8.470602	13.497293	0.013258	2.7
55	-0.546550	9.470602	13.054331	0.009232	2.7
56	-0.575346	10.465859	12.641426	0.014353	2.6
57	-0.554062	11.456074	12.255744	0.016208	3.2
58	-0.582012	10.692982	12.550833	0.010289	2.4
59	-0.518243	11.692980	12.166934	0.012574	2.4
60	-0.595757	12.692972	11.805825	0.014043	2.1
61	-0.565502	11.929881	12.079404	0.010382	2.7
62	-0.571954	11.254016	12.332521	0.013770	3.3
63	-0.560399	12.244534	11.965075	0.011451	5.2
64	-0.554048	11.498817	12.239625	0.007886	3.2
65	-0.597698	12.498816	11.874250	0.012936	2.1
66	-0.552144	11.735725	12.151047	0.013478	3.1
67	-0.550796	10.972636	12.441055	0.016518	2.5
68	-0.594784	11.972636	12.063741	0.014155	5.0
69	-0.588423	12.972636	11.708639	0.010904	2.5
70	-0.562671	12.244496	11.965088	0.017035	2.2
71	-0.559664	11.481404	12.246186	0.013922	2.0
72	-0.569521	12.481404	11.880426	0.013836	1.9
73	-0.581768	11.718313	12.157514	0.008811	1.6
74	-0.571396	10.955221	12.447835	0.012471	1.8
75	-0.574115	11.951768	12.071381	0.010016	2.8
76	-0.594642	12.951679	11.715866	0.012217	2.0
77	-0.552480	13.924983	11.389364	0.010960	1.7
78	-0.542669	13.161894	11.643773	0.010219	1.7
79	-0.568229	14.161894	11.312625	0.015186	1.7
80	-0.537249	15.161891	10.999793	0.014870	1.8
81	-0.559653	16.161891	10.703797	0.015445	1.8
82	-0.558728	15.399039	10.928127	0.009630	1.6
83	-0.559454	16.399039	10.635924	0.015486	2.3
84	-0.563525	15.635947	10.857460	0.013463	2.0
85	-0.555899	16.038179	10.739549	0.012268	1.7
86	-0.555270	17.038179	10.457213	0.012143	1.6
87	-0.571797	18.037249	10.189584	0.010710	1.6
88	-0.558034	19.037249	9.935082	0.012628	1.6
89	-0.563876	20.037249	9.692982	0.011598	1.7
90	-0.564874	19.274157	9.876639	0.015902	1.6
91	-0.575450	20.273207	9.637568	0.016364	1.8
92	-0.556567	19.619587	9.792648	0.014809	2.4
93	-0.617754	20.619587	9.557359	0.014054	2.1
94	-0.569862	21.021301	9.465993	0.009266	1.6
95	-0.565570	20.258209	9.641071	0.014013	2.0
96	-0.550363	19.495118	9.822748	0.017603	2.2
97	-0.558314	20.495118	9.586027	0.011374	2.2
98	-0.549327	19.732026	9.765616	0.013557	1.7
99	-0.558421	20.732026	9.531609	0.007659	1.7
100	-0.569152	21.613890	9.334359	0.012470	2.1
101	-0.547440	22.612366	9.120655	0.015590	2.0
102	-0.572822	23.612366	8.916212	0.009449	1.7
103	-0.555900	22.849274	9.071378	0.010055	1.6
