1:ItNr	2:Metric	3:StepSize	4:||Gradient||	Time[ms]
0	-0.793680	627.201626	0.009750	901.8
1	-0.905511	623.504937	0.008401	8.7
2	-0.000000	619.865785	0.000000	7.9
3	-0.000000	616.282728	0.000000	8.4
4	-0.028005	612.754375	0.002017	7.6
5	-0.607023	609.279381	0.006604	8.0
6	-0.748149	605.856447	0.006813	7.5
7	-0.107611	602.484317	0.003052	7.8
8	-0.745841	599.161779	0.012346	7.5
9	-0.495201	595.887656	0.006860	8.9
10	-0.428073	592.660813	0.011471	9.2
11	-0.107284	589.480151	0.003241	8.6
12	-0.637212	586.344606	0.011394	8.1
13	-0.000000	583.253145	0.000000	10.6
14	-0.000000	580.204771	0.000000	8.3
15	-0.827232	577.198517	0.006356	9.6
16	-1.027480	574.233444	0.014034	10.2
17	-0.531072	571.308645	0.009642	9.0
18	-0.390112	568.423237	0.006446	8.4
19	-0.004892	565.576365	0.000540	7.7
20	-0.000001	562.767201	0.000001	8.9
21	-0.000000	559.994938	0.000000	8.6
22	-0.539399	557.258797	0.007574	8.9
23	-0.701267	554.558018	0.008820	8.0
24	-0.734608	551.891865	0.010459	9.7
25	-0.519891	549.259621	0.007719	8.5
26	-1.015787	546.660592	0.010358	9.1
27	-0.569687	544.094102	0.004500	8.8
28	-0.708166	541.559494	0.007452	8.2
29	-0.413742	539.056129	0.005193	8.5
30	-1.048011	536.583387	0.015985	8.6
31	-0.318308	534.140663	0.006308	8.9
32	-0.893864	531.727370	0.007533	8.1
33	-0.578530	529.342935	0.007151	8.6
34	-0.720638	526.986802	0.007020	8.3
35	-0.756407	524.658430	0.012252	8.9
36	-0.000000	522.357290	0.000000	8.2
37	-0.738721	520.082868	0.008064	9.0
38	-0.947700	517.834665	0.011777	8.7
39	-0.906215	515.612193	0.005037	8.8
40	-0.216533	513.414976	0.006672	9.0
41	-0.812142	511.242551	0.011780	10.0
42	-0.417423	509.094468	0.007226	8.1
43	-0.000000	506.970285	0.000000	8.3
44	-0.823177	504.869574	0.006798	8.4
45	-0.917074	502.791916	0.008593	8.4
46	-0.217978	500.736903	0.003345	8.0
47	-0.000000	498.704137	0.000000	9.0
48	-0.861853	496.693228	0.013058	9.0
49	-0.939682	494.703798	0.009947	9.7
50	-0.097157	492.735476	0.003001	9.4
51	-0.924645	490.787900	0.013660	8.5
52	-0.925097	488.860718	0.008368	9.2
53	-0.191028	486.953585	0.005386	8.1
54	-0.563514	485.066164	0.005434	8.7
55	-0.000000	483.198126	0.000000	8.3
56	-0.901294	481.349149	0.012476	8.5
57	-0.573781	479.518920	0.006988	7.9
58	-0.286907	477.707132	0.004828	8.8
59	-0.695390	475.913485	0.009478	8.1
60	-0.403758	474.137684	0.006825	8.0
61	-0.000000	472.379445	0.000000	7.6
62	-0.868212	470.638485	0.007597	9.0
63	-0.715768	468.914531	0.005499	8.7
64	-0.007661	467.207315	0.000215	8.6
65	-0.419543	465.516573	0.006719	7.7
66	-0.092202	463.842050	0.002128	8.9
67	-0.706644	462.183494	0.008846	8.5
68	-0.479390	460.540658	0.005810	9.0
69	-0.250701	458.913303	0.002194	8.1
70	-0.669980	457.301192	0.007358	8.4
71	-0.000000	455.704096	0.000000	7.4
72	-0.254115	454.121787	0.003174	8.6
73	-0.873212	452.554045	0.005115	8.5
74	-0.270234	451.000653	0.004376	9.1
75	-0.000000	449.461399	0.000000	8.4
76	-0.465686	447.936075	0.006279	8.3
77	-0.000000	446.424477	0.000000	9.3
78	-0.000000	444.926406	0.000000	8.0
79	-0.000000	443.441666	0.000000	8.8
80	-0.472427	441.970065	0.006231	8.1
81	-0.716537	440.511415	0.007496	8.7
82	-0.654207	439.065533	0.007796	7.9
83	-0.510746	437.632238	0.007195	8.1
84	-0.817236	436.211351	0.008413	8.1
85	-0.734773	434.802701	0.007059	9.0
86	-0.000000	433.406117	0.000000	8.4
87	-0.129716	432.021430	0.002660	9.2
88	-0.000000	430.648479	0.000000	7.5
89	-0.197913	429.287101	0.003652	8.7
90	-0.663573	427.937140	0.011133	8.6
91	-0.421558	426.598440	0.005880	8.8
92	-0.855476	425.270849	0.005019	8.1
93	-0.931907	423.954220	0.020402	8.6
94	-0.242648	422.648404	0.008202	7.6
95	-0.011893	421.353259	0.001039	8.3
96	-0.947399	420.068643	0.004625	8.1
97	-0.636921	418.794419	0.008498	8.4
98	-0.280766	417.530451	0.004269	8.1
99	-0.539770	416.276604	0.006047	8.5
100	-0.365246	415.032748	0.008338	8.5
101	-0.685894	413.798754	0.013020	8.8
102	-0.210732	412.574495	0.004643	7.8
103	-0.875295	411.359849	0.004971	9.0
104	-0.000000	410.154691	0.000000	7.9
105	-0.806248	408.958904	0.008133	8.5
106	-0.752292	407.772368	0.009249	8.0
107	-0.368304	406.594968	0.003802	8.3
108	-0.847652	405.426590	0.004747	8.6
109	-0.459512	404.267122	0.008876	8.8
110	-0.319586	403.116456	0.005658	8.5
111	-0.757523	401.974481	0.007531	9.4
112	-0.936198	400.841093	0.020708	8.2
113	-0.955199	399.716187	0.007012	8.2
114	-0.036243	398.599660	0.001245	8.4
115	-0.489573	397.491411	0.006002	7.8
116	-0.023270	396.391342	0.000647	8.5
117	-0.508991	395.299353	0.006145	8.3
118	-0.390423	394.215350	0.005097	8.5
119	-0.580374	393.139238	0.006620	8.4
120	-0.664653	392.070924	0.007361	9.2
121	-0.215444	391.010316	0.005656	8.0
122	-0.059810	389.957325	0.000848	9.1
123	-0.015108	388.911862	0.000593	8.7
124	-0.653055	387.873839	0.008192	8.7
125	-0.407974	386.843173	0.003772	8.2
126	-0.000006	385.819777	0.000009	9.2
127	-0.202038	384.803569	0.002606	9.1
128	-0.250405	383.794468	0.003480	9.0
129	-0.156173	382.792393	0.003648	7.9
130	-0.000000	381.797264	0.000000	8.8
131	-0.000000	380.809005	0.000000	7.9
132	-0.000000	379.827537	0.000000	8.9
133	-0.794223	378.852786	0.011606	8.1
134	-0.911583	377.884678	0.007293	8.9
135	-1.033619	376.923138	0.028471	9.0
136	-0.868754	375.968095	0.016311	9.3
137	-0.254819	375.019479	0.002989	9.0
138	-0.935098	374.077218	0.009070	7.5
139	-0.637523	373.141244	0.006941	9.3
140	-0.463013	372.211489	0.007100	7.6
141	-0.709575	371.287887	0.008195	8.5
142	-0.016210	370.370370	0.000256	7.5
143	-0.007669	369.458876	0.000259	9.0
144	-0.066312	368.553338	0.002383	8.3
145	-0.000000	367.653696	0.000000	8.8
146	-0.000000	366.759885	0.000000	8.5
147	-0.099313	365.871846	0.002605	8.9
148	-0.881623	364.989518	0.008267	9.3
149	-0.877492	364.112841	0.008829	8.6
150	-0.016520	363.241757	0.000385	8.3
151	-0.461810	362.376208	0.007638	8.3
152	-0.625882	361.516137	0.005960	8.1
153	-0.850242	360.661488	0.006914	9.0
154	-0.259120	359.812206	0.002693	8.0
155	-0.592864	358.968236	0.004414	8.6
156	-0.815503	358.129524	0.005521	8.5
157	-0.252174	357.296018	0.005672	8.9
158	-0.000000	356.467665	0.000000	7.8
159	-0.718485	355.644414	0.004852	8.2
160	-0.301078	354.826213	0.002474	8.5
161	-0.001073	354.013012	0.000029	9.5
162	-0.000000	353.204763	0.000000	8.7
163	-0.007817	352.401415	0.000258	8.1
164	-0.263284	351.602922	0.005736	8.1
165	-0.744269	350.809235	0.006946	7.9
166	-0.850126	350.020308	0.009222	8.3
167	-0.600354	349.236095	0.006142	8.4
168	-0.539966	348.456550	0.006037	9.1
169	-0.581691	347.681627	0.007963	7.5
170	-0.907501	346.911283	0.009232	9.4
171	-0.882874	346.145474	0.016490	8.5
172	-0.000000	345.384157	0.000000	10.0
173	-0.508122	344.627288	0.005882	9.2
174	-0.427319	343.874826	0.006999	8.7
175	-0.415933	343.126729	0.004685	8.0
176	-0.000000	342.382957	0.000000	8.7
177	-0.842440	341.643469	0.009313	8.1
